district_name,room_type_clean,listings,district_total,share_pct
Ciutat Vella,Entire home/apt,2499,4120,60.65533980582525
Ciutat Vella,Hotel room,18,4120,0.4368932038834952
Ciutat Vella,Private room,1599,4120,38.810679611650485
Ciutat Vella,Shared room,4,4120,0.0970873786407767
Eixample,Entire home/apt,4479,6659,67.26235170446013
Eixample,Hotel room,64,6659,0.961105271061721
Eixample,Private room,2057,6659,30.890524102718125
Eixample,Shared room,59,6659,0.8860189217600241
Gràcia,Entire home/apt,1059,1548,68.4108527131783
Gràcia,Hotel room,13,1548,0.8397932816537468
Gràcia,Private room,468,1548,30.23255813953488
Gràcia,Shared room,8,1548,0.516795865633075
Horta-Guinardó,Entire home/apt,248,460,53.91304347826087
Horta-Guinardó,Private room,212,460,46.08695652173913
Les Corts,Entire home/apt,270,405,66.66666666666666
Les Corts,Private room,131,405,32.34567901234568
Les Corts,Shared room,4,405,0.9876543209876543
Nou Barris,Entire home/apt,96,190,50.526315789473685
Nou Barris,Private room,94,190,49.473684210526315
Sant Andreu,Entire home/apt,128,278,46.043165467625904
Sant Andreu,Private room,148,278,53.23741007194245
Sant Andreu,Shared room,2,278,0.7194244604316548
Sant Martí,Entire home/apt,1149,1634,70.31823745410037
Sant Martí,Hotel room,3,1634,0.18359853121175032
Sant Martí,Private room,459,1634,28.090575275397793
Sant Martí,Shared room,23,1634,1.4075887392900857
Sants-Montjuïc,Entire home/apt,1137,1766,64.3827859569649
Sants-Montjuïc,Hotel room,4,1766,0.22650056625141565
Sants-Montjuïc,Private room,617,1766,34.93771234428086
Sants-Montjuïc,Shared room,8,1766,0.4530011325028313
Sarrià-Sant Gervasi,Entire home/apt,680,1117,60.87735004476276
Sarrià-Sant Gervasi,Private room,431,1117,38.58549686660698
Sarrià-Sant Gervasi,Shared room,6,1117,0.5371530886302597
