dataset,source,rows,columns,missing_cells,missing_pct,date_min,date_max,column_names
Inside Airbnb listings,analysis,18177,29,58769,11.15,2011-06-23,2025-12-14,"id, name, host_id, host_profile_id, host_name, neighbourhood_group, neighbourhood, latitude, longitude, room_type, price, minimum_nights, number_of_reviews, last_review, reviews_per_month, calculated_host_listings_count, availability_365, number_of_reviews_ltm, license, district_name, neighbourhood_name, district_key, neighbourhood_key, price_numeric, availability_365_numeric, number_of_reviews_ltm_numeric, room_type_clean, is_entire_home, last_review_date"
Inside Airbnb calendar,analysis,6634623,7,13269246,28.57,2025-12-14,2026-12-14,"listing_id, date, available, price, adjusted_price, minimum_nights, maximum_nights"
Inside Airbnb reviews,analysis,991795,2,0,0.0,2010-10-03,2025-12-14,"listing_id, date"
Inside Airbnb neighbourhoods,analysis,73,2,0,0.0,,,"neighbourhood_group, neighbourhood"
HUT licences,analysis,248766,58,8160883,56.56,,,"n_expedient, districte, barri, tipus_carrer, carrer, tipus_num, num1, lletra1, num2, lletra2, bloc, portal, escala, pis, porta, numero_registre_generalitat, numero_places, longitud_x, latitud_y, source_file, source_path, source_group, codi_districte, nom_districte, codi_barri, nom_barri, latitud_y01_2013_0753, 1, ciutat_vella, 1_1"
Port passengers,analysis,2042,24,2042,4.17,2019-01-01,2025-12-01,"man_any_servei_id, man_mes_servei_id, man_mes_any_servei_id, esc_tipus_vaixell_desc, esc_tipus_vaixell_id, man_cnx_navegacio_mercaderia_desc, man_cnx_navegacio_mercaderia_id, man_peq_grup_tipus_operacio_csl_desc, man_peq_grup_tipus_operacio_csl_id, man_cnx_mar_area_desc, man_cnx_mar_area_id, man_cnx_mar_pais_desc, man_cnx_mar_pais_pais_iso, man_par_passatgers, source_file, source_path, source_group, man_cnx_mar_pais_id, year, month, passengers, ship_type, is_cruise, period"
Electricity consumption,analysis,1665130,13,1665130,7.69,2019-01-01,2025-11-30,"any, data, codi_postal, sector_economic, tram_horari, valor, source_file, source_path, source_group, date, year, postcode, consumption_value"
Air quality stations,analysis,320,29,1613,17.38,,,"estacio, nom_cabina, codi_dtes, zqa, codi_eoi, longitud, latitud, ubicacio, codi_districte, nom_districte, codi_barri, nom_barri, clas_1, clas_2, codi_contaminant, source_file, source_path, source_group, ocupacio_sol, emissions_properes, contaminant_1, contaminant_2, contaminant_3, district_code, district_name, neighbourhood_code, neighbourhood_name, district_key, neighbourhood_key"
Air quality pollutants,analysis,21,6,2,1.59,,,"codi_contaminant, desc_contaminant, unitats, source_file, source_path, source_group"
Population denominators,analysis,511,8,0,0.0,,,"year, district_code, district_name, neighbourhood_code, neighbourhood_name, district_key, neighbourhood_key, population"
