district_name,population,listings,entire_home_listings,hut_licenses,hut_places,mean_tpi_0_100,airbnb_per_1000_residents,entire_home_airbnb_per_1000_residents,hut_per_1000_residents,hut_places_per_1000_residents
Eixample,278209,6659.0,4479,4907.0,30621.0,50.87971154946589,23.93524292887721,16.099407280138315,17.637819049707232,110.06473550460265
Ciutat Vella,115311,4120.0,2499,839.0,3873.0,44.408864974670294,35.72946206346315,21.671826625387,7.275975405642133,33.587428779561364
Sants-Montjuïc,196300,1766.0,1137,1298.0,6400.0,23.186378311666452,8.996434029546613,5.792154865002547,6.612328069281712,32.603158430973004
Gràcia,127603,1548.0,1059,1127.0,5996.0,23.019202631526014,12.13137622156219,8.299177919014443,8.832080750452576,46.98949084269179
Sant Martí,253139,1634.0,1149,1233.0,6911.0,21.35976122646034,6.454951627366783,4.53900821287909,4.8708417114707725,27.30120605675143
Sarrià-Sant Gervasi,153673,1117.0,680,659.0,4470.0,19.492083928402057,7.268680900353348,4.4249803153449205,4.28832651148868,29.0877382493997
Les Corts,84393,405.0,270,266.0,1542.0,16.536926733286162,4.7989762184067395,3.1993174789378265,3.151920182953562,18.271657601933807
Horta-Guinardó,183009,460.0,248,253.0,1353.0,11.592514984341195,2.5135375855832227,1.3551246113579114,1.3824456720707725,7.3930790289002175
Sant Andreu,157674,278.0,128,93.0,528.0,10.793497241927827,1.7631315245379708,0.811801565254893,0.5898245747555082,3.3486814566764336
Nou Barris,182755,190.0,96,41.0,175.0,10.518683795988819,1.0396432382150969,0.5252934256244699,0.22434406719378402,0.9575661404612733
