district_name,population,listings,entire_home_listings,hut_licenses,hut_places,mean_tpi_0_100,airbnb_per_1000_residents,entire_home_airbnb_per_1000_residents,hut_per_1000_residents,hut_places_per_1000_residents,tourism_units,population_share_pct,airbnb_share_pct,hut_share_pct,tourism_unit_share_pct,tourism_surplus_vs_population_pct_points
Eixample,278209,6659.0,4479,4907.0,30621.0,50.87971154946589,23.93524292887721,16.099407280138315,17.637819049707232,110.06473550460265,11566.0,16.06226321629776,36.634208065137265,45.791340052258306,40.0304572041671,23.968193987869338
Ciutat Vella,115311,4120.0,2499,839.0,3873.0,44.408864974670294,35.72946206346315,21.671826625387,7.275975405642133,33.587428779561364,4959.0,6.657425294417188,22.666006491720307,7.829413960432998,17.16332675734607,10.505901462928882
Gràcia,127603,1548.0,1059,1127.0,5996.0,23.019202631526014,12.13137622156219,8.299177919014443,8.832080750452576,46.98949084269179,2675.0,7.367098020514231,8.516256808054134,10.516983949234788,9.25829785761257,1.8911998370983394
Sants-Montjuïc,196300,1766.0,1137,1298.0,6400.0,23.186378311666452,8.996434029546613,5.792154865002547,6.612328069281712,32.603158430973004,3064.0,11.33328637592332,9.71557462727623,12.112728630085853,10.604644723635483,-0.7286416522878376
Les Corts,84393,405.0,270,266.0,1542.0,16.536926733286162,4.7989762184067395,3.1993174789378265,3.151920182953562,18.271657601933807,671.0,4.872389389318883,2.2280904439676514,2.4822695035460995,2.322361817741321,-2.5500275715775618
Sarrià-Sant Gervasi,153673,1117.0,680,659.0,4470.0,19.492083928402057,7.268680900353348,4.4249803153449205,4.28832651148868,29.0877382493997,1776.0,8.872236970184739,6.145128459041646,6.149682717431878,6.146817568269131,-2.725419401915608
Sant Martí,253139,1634.0,1149,1233.0,6911.0,21.35976122646034,6.454951627366783,4.53900821287909,4.8708417114707725,27.30120605675143,2867.0,14.614858787136287,8.989382186279364,11.50615901455767,9.922818675803828,-4.692040111332458
Sant Andreu,157674,278.0,128,93.0,528.0,10.793497241927827,1.7631315245379708,0.811801565254893,0.5898245747555082,3.3486814566764336,371.0,9.103232786741383,1.5294052924024866,0.8678611422172453,1.2840480393174818,-7.819184747423901
Horta-Guinardó,183009,460.0,248,253.0,1353.0,11.592514984341195,2.5135375855832227,1.3551246113579114,1.3824456720707725,7.3930790289002175,713.0,10.565936863837752,2.530670627716345,2.3609555804404625,2.4677257467206593,-8.098211117117092
Nou Barris,182755,190.0,96,41.0,175.0,10.518683795988819,1.0396432382150969,0.5252934256244699,0.22434406719378402,0.9575661404612733,231.0,10.551272295628458,1.0452769984045773,0.3826054497946995,0.7995016093863565,-9.751770686242102
