district_name,neighbourhood_name,population,listings,entire_home_listings,airbnb_per_1000_residents,entire_home_airbnb_per_1000_residents
Eixample,la Dreta de l'Eixample,45667,2404.0,1576,52.641951518602056,34.510697002211664
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",22767,1141.0,759,50.11639653885009,33.33772565555409
Ciutat Vella,el Barri Gòtic,27878,1167.0,653,41.86096563598536,23.42348805509721
Ciutat Vella,la Barceloneta,14749,482.0,390,32.68018170723439,26.442470675978033
Ciutat Vella,el Raval,49917,1330.0,697,26.64422942083859,13.963178876935713
Eixample,Sant Antoni,39223,947.0,651,24.143997144532545,16.597404584045076
Eixample,l'Antiga Esquerra de l'Eixample,44021,1006.0,669,22.852729379159946,15.197292201449308
Sants-Montjuïc,el Poble-sec,40300,823.0,579,20.42183622828784,14.367245657568239
Gràcia,la Vila de Gràcia,51833,1056.0,741,20.373121370555438,14.295911870815889
Eixample,la Sagrada Família,53555,1047.0,769,19.549995331901783,14.359070114835216
Sant Martí,la Vila Olímpica del Poblenou,9345,146.0,124,15.623327982878545,13.269127875869449
Sant Martí,el Poblenou,34818,486.0,386,13.95829743236257,11.086219771382618
Eixample,el Fort Pienc,36621,489.0,321,13.35299418366511,8.765462439583844
Eixample,la Nova Esquerra de l'Eixample,59122,766.0,493,12.95625993707926,8.338689489530125
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,49461,589.0,358,11.908372252886112,7.238025919411253
