district_name,neighbourhood_name,population,hut_licenses,hut_places,hut_per_1000_residents,hut_places_per_1000_residents
Eixample,la Dreta de l'Eixample,45667,1802.0,12489.0,39.45956598856943,273.4797556222217
Eixample,Sant Antoni,39223,667.0,3763.0,17.005328506233585,95.93860744971063
Eixample,l'Antiga Esquerra de l'Eixample,44021,725.0,4661.0,16.469412325935348,105.88128393266851
Gràcia,la Vila de Gràcia,51833,803.0,4188.0,15.492061042193196,80.79794725368009
Eixample,la Sagrada Família,53555,822.0,4443.0,15.348706936793949,82.96144150872935
Sants-Montjuïc,el Poble-sec,40300,571.0,2756.0,14.168734491315137,68.38709677419355
Sant Martí,el Poblenou,34818,457.0,2327.0,13.125394910678386,66.8332471710035
Sants-Montjuïc,la Font de la Guatlla,10860,141.0,682.0,12.98342541436464,62.79926335174954
Sant Martí,la Vila Olímpica del Poblenou,9345,106.0,724.0,11.342964151952916,77.47458533975387
Sants-Montjuïc,Hostafrancs,16798,176.0,902.0,10.47743779021312,53.69686867484225
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",22767,237.0,967.0,10.409803663196733,42.47375587473097
Eixample,el Fort Pienc,36621,380.0,2282.0,10.37655989732667,62.31397285710385
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,13691,129.0,1039.0,9.42224819224308,75.88927032357023
Eixample,la Nova Esquerra de l'Eixample,59122,511.0,2983.0,8.643144683874024,50.454991373769495
Ciutat Vella,el Barri Gòtic,27878,236.0,1271.0,8.465456632470048,45.59150584690437
