district_name,neighbourhood_name,population,listings,hut_licenses,airbnb_per_1000_residents,hut_per_1000_residents,tpi_0_100
Eixample,la Dreta de l'Eixample,45667,2404.0,1802.0,52.641951518602056,39.45956598856943,100.0
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",22767,1141.0,237.0,50.11639653885009,10.409803663196733,55.921357515447966
Eixample,Sant Antoni,39223,947.0,667.0,24.143997144532545,17.005328506233585,49.516564873399986
Ciutat Vella,el Barri Gòtic,27878,1167.0,236.0,41.86096563598536,8.465456632470048,49.22747517530525
Eixample,l'Antiga Esquerra de l'Eixample,44021,1006.0,725.0,22.852729379159946,16.469412325935348,47.33034751790532
Eixample,la Sagrada Família,53555,1047.0,822.0,19.549995331901783,15.348706936793949,44.29071572171079
Gràcia,la Vila de Gràcia,51833,1056.0,803.0,20.373121370555438,15.492061042193196,43.308244833803116
Sants-Montjuïc,el Poble-sec,40300,823.0,571.0,20.42183622828784,14.168734491315137,42.701916289509775
Sant Martí,la Vila Olímpica del Poblenou,9345,146.0,106.0,15.623327982878545,11.342964151952916,40.539269576080024
Ciutat Vella,la Barceloneta,14749,482.0,118.0,32.68018170723439,8.000542409654892,39.1944883579225
Sant Martí,el Poblenou,34818,486.0,457.0,13.95829743236257,13.125394910678386,34.62573063335044
Ciutat Vella,el Raval,49917,1330.0,248.0,26.64422942083859,4.968247290502234,33.29213885000545
Eixample,el Fort Pienc,36621,489.0,380.0,13.35299418366511,10.37655989732667,33.1223347812578
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,13691,144.0,129.0,10.517858447155065,9.42224819224308,31.838940943499296
Sants-Montjuïc,Hostafrancs,16798,192.0,176.0,11.42993213477795,10.47743779021312,31.123020565211988
